nsubj,correct_root,wrong_root,original_sentence,masked_sentence,bert_large_uncase,bert_base_uncase,SL,SVD,All_NN_BEF,NV_BEF,SL_BEF,Attractor,NEAR_NVD,Attractor%,number
proponents,advocate,advocates,"proponents of the cle not only oppose abortion and capital punishment , but also advocate policies that address social and economic issues that are considered to unjustly violate the sanctity of life .","proponents of the cle not only oppose abortion and capital punishment , but also [MASK] policies that address social and economic issues that are considered to unjustly violate the sanctity of life .",advocate.1,advocate,33,14,4,1,14,4,4,,pl
properties,require,requires,"the physical properties of natural gas require the compression ratio of the engine to be higher than in normal internal combustion engines , and the higher compression makes for greater efficiency .","the physical properties of natural gas [MASK] the compression ratio of the engine to be higher than in normal internal combustion engines , and the higher compression makes for greater efficiency .",require,require,32,4,1,0,6,1,1,,pl
articles,have,has,"all articles within the series have to prove their notability independently , which requires coverage from reliable verifiable sources independent of the topic .","all articles within the series [MASK] to prove their notability independently , which requires coverage from reliable verifiable sources independent of the topic .",have,have,24,4,1,0,5,1,1,,pl
groups,continue,continues,"several smaller ethnic groups , in particular the christian ethnic assyrians and gnostic mandeans , continue to speak and write mesopotamian aramaic dialects ( especially neo-aramaic , descended from syriac ) in northern iraq , south eastern turkey , northwestern iran , and northeast syria and the caucasus .","several smaller ethnic groups , in particular the christian ethnic assyrians and gnostic mandeans , [MASK] to speak and write mesopotamian aramaic dialects ( especially neo-aramaic , descended from syriac ) in northern iraq , south eastern turkey , northwestern iran , and northeast syria and the caucasus .",continue,continue,49,12,1,0,15,0,none,,pl
children,attend,attends,children from this community attend waterford public school and waterford district high school .,children from this community [MASK] waterford public school and waterford district high school .,attend,attend,14,4,1,0,4,1,1,,pl
linguists,include,includes,other linguists active in the first half of the 20th century include edward sapir and benjamin whorf .,other linguists active in the first half of the 20th century [MASK] edward sapir and benjamin whorf .,include,include,18,10,2,0,11,2,1,,pl
economies,make,makes,"here , economies of scope make product diversification efficient if they are based on the common and recurrent use of proprietary know-how or on an indivisible physical asset .","here , economies of scope [MASK] product diversification efficient if they are based on the common and recurrent use of proprietary know-how or on an indivisible physical asset .",make,make,29,3,1,0,5,1,1,,pl
people,make,makes,"the many other people of the same name make a google or google news search harder , but e .","the many other people of the same name [MASK] a google or google news search harder , but e .",make,make,20,5,1,0,8,1,1,,pl
contemporaries,include,includes,contemporaries of the band include asleep at the wheel and jerry jeff walker .,contemporaries of the band [MASK] asleep at the wheel and jerry jeff walker .,include,include,14,4,1,0,4,1,1,,pl
couples,have,has,"however , couples who register their marriage with the state have a higher level of education than those who do not .","however , couples who register their marriage with the state [MASK] a higher level of education than those who do not .",have,have,22,8,2,1,10,2,1,,pl
