nsubj,correct_root,wrong_root,original_sentence,masked_sentence,bert_large_uncase,bert_base_uncase,SL,SVD,All_NN_BEF,NV_BEF,SL_BEF,Attractor,NEAR_NVD,Attractor%,
floor,is,are,"The ground floor which has largely survived beneath the rubble including 95 per cent of the contents such as furniture paintings books and china the trust is welcomed in China
","The ground floor which has largely survived beneath the rubble including 95 per cent of the contents such as furniture paintings books and china the trust [MASK] welcomed in China
",is,is,30,24,8,2,26,3,5,,sg
threshold,means,mean,"The rising threshold of competence needed in the job market and the relative decline in traditional semi-skilled or unskilled jobs means that the compulsory school can no longer hope to provide a marketable vocational education as it did for some usually lower-achieving children in the past
","The rising threshold of competence needed in the job market and the relative decline in traditional semi-skilled or unskilled jobs [MASK] that the compulsory school can no longer hope to provide a marketable vocational education as it did for some usually lower-achieving children in the past
",mean,mean,46,18,6,2,20,0,none,,sg
idea,is,are,"The idea that the curriculum can be seen in terms of the society or culture of which it is a part is both ancient and recent
","The idea that the curriculum can be seen in terms of the society or culture of which it is a part [MASK] both ancient and recent
",is,is,26,20,5,1,21,1,12,,sg
nature,means,mean,"The dual nature of disciplines as bodies of knowledge and bodies of people means that the difficulties of interdisciplinary work often take a concrete rather than abstract form Squires 1975 Levin and Lind 1985 Even when academics espouse construct views of knowledge they may find it difficult in indefinable as well as definable ways to work together in cross-disciplinary teams
","The dual nature of disciplines as bodies of knowledge and bodies of people [MASK] that the difficulties of interdisciplinary work often take a concrete rather than abstract form Squires 1975 Levin and Lind 1985 Even when academics espouse construct views of knowledge they may find it difficult in indefinable as well as definable ways to work together in cross-disciplinary teams
",means,means,60,11,5,0,13,3,7,,sg
question,takes,take,"The second question raised by the dual nature of disciplines as bodies of knowledge and bodies of people takes us back to the very distinction between academic and professional courses
","The second question raised by the dual nature of disciplines as bodies of knowledge and bodies of people [MASK] us back to the very distinction between academic and professional courses
",takes,takes,30,16,6,1,18,3,7,,sg
body,examines,examine,"This body which is closely associated with the Cour des Comptes or the national audit authority examines all aspects of managerial efficiency as well as reporting upon the accounts
","This body which is closely associated with the Cour des Comptes or the national audit authority [MASK] all aspects of managerial efficiency as well as reporting upon the accounts
",examine,examine,29,15,1,1,16,0,none,,sg
stage,is,are,"The third stage which leads to a review of effectiveness is a new stage that is becoming increasingly demanded
","The third stage which leads to a review of effectiveness [MASK] a new stage that is becoming increasingly demanded
",is,is,19,8,2,1,10,0,none,,sg
Auditing,draws,draw,"The Audit Guide Auditing of Efficiency 1981 produced by the Office of the Auditor General of Canada draws an important distinction between efficiency and productivity
","The Audit Guide Auditing of Efficiency 1981 produced by the Office of the Auditor General of Canada [MASK] an important distinction between efficiency and productivity
",draw,draw,25,14,0,1,17,0,none,,sg
Act,meets,meet,"The Act which is in three parts only partially meets the proposals of the PAC
","The Act which is in three parts only partially [MASK] the proposals of the PAC
",meets,meets,15,8,1,0,9,1,3,,sg
Report,is,are,"The Treasury and Civil Service Committee Second Report 1987–8 recommendation that departmental reports should give information about the costs of major publicity and advertising is to apply for departments who spend £½ million or more a year on paid UK publicity
","The Treasury and Civil Service Committee Second Report 1987–8 recommendation that departmental reports should give information about the costs of major publicity and advertising [MASK] to apply for departments who spend £½ million or more a year on paid UK publicity
",is,is,41,17,6,1,24,2,6,,sg
