nsubj,correct_root,wrong_root,original_sentence,masked_sentence,bert_large_uncase,bert_base_uncase,SL,SVD,All_NN_BEF,NV_BEF,SL_BEF,Attractor,NEAR_NVD,Attractor%,
proponents,advocate,advocates,"proponents of the cle not only oppose abortion and capital punishment , but also advocate policies that address social and economic issues that are considered to unjustly violate the sanctity of life .","proponents of the cle not only oppose abortion and capital punishment , but also [MASK] policies that address social and economic issues that are considered to unjustly violate the sanctity of life .",advocate.1,advocate,33,14,4,1,14,4,4,,
properties,require,requires,"the physical properties of natural gas require the compression ratio of the engine to be higher than in normal internal combustion engines , and the higher compression makes for greater efficiency .","the physical properties of natural gas [MASK] the compression ratio of the engine to be higher than in normal internal combustion engines , and the higher compression makes for greater efficiency .",require,require,32,4,1,0,6,1,1,,
articles,have,has,"all articles within the series have to prove their notability independently , which requires coverage from reliable verifiable sources independent of the topic .","all articles within the series [MASK] to prove their notability independently , which requires coverage from reliable verifiable sources independent of the topic .",have,have,24,4,1,0,5,1,1,,
groups,continue,continues,"several smaller ethnic groups , in particular the christian ethnic assyrians and gnostic mandeans , continue to speak and write mesopotamian aramaic dialects ( especially neo-aramaic , descended from syriac ) in northern iraq , south eastern turkey , northwestern iran , and northeast syria and the caucasus .","several smaller ethnic groups , in particular the christian ethnic assyrians and gnostic mandeans , [MASK] to speak and write mesopotamian aramaic dialects ( especially neo-aramaic , descended from syriac ) in northern iraq , south eastern turkey , northwestern iran , and northeast syria and the caucasus .",continue,continue,49,12,1,0,15,0,none,,
children,attend,attends,children from this community attend waterford public school and waterford district high school .,children from this community [MASK] waterford public school and waterford district high school .,attend,attend,14,4,1,0,4,1,1,,
linguists,include,includes,other linguists active in the first half of the 20th century include edward sapir and benjamin whorf .,other linguists active in the first half of the 20th century [MASK] edward sapir and benjamin whorf .,include,include,18,10,2,0,11,2,1,,
economies,make,makes,"here , economies of scope make product diversification efficient if they are based on the common and recurrent use of proprietary know-how or on an indivisible physical asset .","here , economies of scope [MASK] product diversification efficient if they are based on the common and recurrent use of proprietary know-how or on an indivisible physical asset .",make,make,29,3,1,0,5,1,1,,
people,make,makes,"the many other people of the same name make a google or google news search harder , but e .","the many other people of the same name [MASK] a google or google news search harder , but e .",make,make,20,5,1,0,8,1,1,,
contemporaries,include,includes,contemporaries of the band include asleep at the wheel and jerry jeff walker .,contemporaries of the band [MASK] asleep at the wheel and jerry jeff walker .,include,include,14,4,1,0,4,1,1,,
couples,have,has,"however , couples who register their marriage with the state have a higher level of education than those who do not .","however , couples who register their marriage with the state [MASK] a higher level of education than those who do not .",have,have,22,8,2,1,10,2,1,,
swimmers,include,includes,famous and known swimmers in the team include former students and swimmers pal satyajit singh and harnoor singh .,famous and known swimmers in the team [MASK] former students and swimmers pal satyajit singh and harnoor singh .,include,include,19,4,1,1,7,1,1,,
proponents,advocate,advocates,"proponents of the cle not only oppose abortion and capital punishment , but also advocate policies that address social and economic issues that are considered to unjustly violate the sanctity of life .","proponents of the cle not only oppose abortion and capital punishment , but also [MASK] policies that address social and economic issues that are considered to unjustly violate the sanctity of life .",advocate,advocate,33,14,4,1,14,4,4,,
areas,continue,continues,some areas of straw mulched cropping continue to produce grains and vegetables .,some areas of straw mulched cropping [MASK] to produce grains and vegetables .,continues,continue,13,5,2,1,6,2,1,,
victims,include,includes,"possible victims of this period include the american missionary father james carney , with florencio caballero , a former member of battalion 3-16 , testifying that alvarez had ordered his death .","possible victims of this period [MASK] the american missionary father james carney , with florencio caballero , a former member of battalion 3-16 , testifying that alvarez had ordered his death .",include,include,32,4,1,0,5,1,1,,
concerns,extend,extends,my concerns about the continuing dispute extend only to stopping the edit war .,my concerns about the continuing dispute [MASK] only to stopping the edit war .,extend,extend,14,5,1,1,6,1,1,,
players,make,makes,these two players and the coach make up the entirety of the list of subarticles at this time .,these two players and the coach [MASK] up the entirety of the list of subarticles at this time .,make,make,19,4,1,0,6,1,1,,
proponents,include,includes,major proponents of this theory include joyce marcus and kent v .,major proponents of this theory [MASK] joyce marcus and kent v .,include,include,12,4,1,0,5,1,1,,
forms,include,includes,other forms of crime include robbery as well as kidnappings and assault .,other forms of crime [MASK] robbery as well as kidnappings and assault .,include,include,13,3,1,0,4,1,1,,
people,visit,visits,"every easter , many people from the rest of the country , as well as argentinians , brazilians and paraguayans visit termas del arapey for vacation .","every easter , many people from the rest of the country , as well as argentinians , brazilians and paraguayans [MASK] termas del arapey for vacation .",visits,visits,27,16,4,0,20,2,10,,
versions,exist,exists,two versions of this frame exist in small ( 20 .,two versions of this frame [MASK] in small ( 20 .,exist,exist,11,4,1,0,5,1,1,,
places,include,includes,"worship places in pernambut include mosques ( chouck mosque , small mosque , park mosque , jamiya mosque , lal mosque ) , koils ( aanchaneyar koil , krishnan koil , vinayagar koil ) and a st .","worship places in pernambut [MASK] mosques ( chouck mosque , small mosque , park mosque , jamiya mosque , lal mosque ) , koils ( aanchaneyar koil , krishnan koil , vinayagar koil ) and a st .",include,include,38,3,2,0,4,2,1,,
children,attend,attends,some elementary age children from the northern part of mcadenville attend lowell elementary school in lowell .,some elementary age children from the northern part of mcadenville [MASK] lowell elementary school in lowell .,attend,attend,17,7,3,0,10,3,1,,
institutions,lend,lends,"according to sloterdijk , the institutions of the welfare state lend themselves to a system that privileges the marginalized , but relies , unsustainably , on the class of citizens who are materially successful .","according to sloterdijk , the institutions of the welfare state [MASK] themselves to a system that privileges the marginalized , but relies , unsustainably , on the class of citizens who are materially successful .",lends,lend,35,5,3,1,10,3,1,,
attractions,include,includes,"other attractions within the park include an ice arena , a small football stadium , a lawn bowling facility and the peter hemingway fitness and leisure centre , formerly the coronation pool .","other attractions within the park [MASK] an ice arena , a small football stadium , a lawn bowling facility and the peter hemingway fitness and leisure centre , formerly the coronation pool .",include,include,33,4,1,0,5,1,1,,
comments,think,thinks,"reading it again and the comments in this thread , i think i finally get it .","reading it again and the comments in this thread , i [MASK] i finally get it .",think,think,17,6,1,1,11,1,3,,
contributions,appear,appears,"sean bonner 's contributions ( under his name and ips ) appear to take the form of advocating himself , or his sites by inserting links to his name or externals to the blogs he runs .","sean bonner 's contributions ( under his name and ips ) [MASK] to take the form of advocating himself , or his sites by inserting links to his name or externals to the blogs he runs .",appears,appears,37,8,2,0,11,1,4,,
items,include,includes,other items that are special to sonic 's menu include breakfast toaster sandwiches ( made with texas toast instead of the typical bun ) and cheddar peppers .,other items that are special to sonic 's menu [MASK] breakfast toaster sandwiches ( made with texas toast instead of the typical bun ) and cheddar peppers .,include,include,28,8,1,0,9,1,1,,
members,have,has,"the members of the genus calyptorhynchus and larger white cockatoos , such as the sulphur-crested cockatoo and major mitchell 's cockatoo , have shorter , rounder wings and a more leisurely flight .","the members of the genus calyptorhynchus and larger white cockatoos , such as the sulphur-crested cockatoo and major mitchell 's cockatoo , [MASK] shorter , rounder wings and a more leisurely flight .",have,has,33,21,5,0,22,3,7,,
editors,have,has,"the editors in charge of this label have a reputation for welcoming new authors , and hold a yearly contest , the dengeki novel prize , to discover new talent .","the editors in charge of this label [MASK] a reputation for welcoming new authors , and hold a yearly contest , the dengeki novel prize , to discover new talent .",have,have,31,6,2,0,7,2,1,,
drivers,have,has,therefore all the drivers for the present hardware have to be included in the microkernel .,therefore all the drivers for the present hardware [MASK] to be included in the microkernel .,have,have,16,5,1,0,8,1,1,,
displays,cause,causes,"liquid crystal displays , the most common sort of flat panel display , cause their pixels to become lighter or darker through rotation of the polarization ( circular birefringence ) of linearly polarized light as viewed through a sheet polarizer at the screen 's surface .","liquid crystal displays , the most common sort of flat panel display , [MASK] their pixels to become lighter or darker through rotation of the polarization ( circular birefringence ) of linearly polarized light as viewed through a sheet polarizer at the screen 's surface .",cause,cause,46,11,4,0,13,4,2,,
people,say,says,"many people who have supposedly had contact with bullock 's ghost say that they were never harmed , but merely touched or called out for .","many people who have supposedly had contact with bullock 's ghost [MASK] that they were never harmed , but merely touched or called out for .",say,say,26,10,2,1,11,2,1,,
cases,include,includes,the cases brought to this court include criminal or civil cases .,the cases brought to this court [MASK] criminal or civil cases .,include,include,12,5,1,1,6,1,1,,
viewpoints,support,supports,support alex and i share viewpoints on free-use in wikipedia and therefore i support him .,support alex and i share viewpoints on free-use in wikipedia and therefore i [MASK] him .,support,support,16,8,2,2,13,2,4,,
articles,provide,provides,"the current tactic is to merge '' articles into oblivion , so that wikipedia 's contents , taken as a whole , provide only the right '' information .","the current tactic is to merge '' articles into oblivion , so that wikipedia 's contents , taken as a whole , [MASK] only the right '' information .",provides,provides,29,15,4,2,22,3,2,,
bodies,include,includes,"the bodies of the foundation include the managing board , the supervisory board and the association .","the bodies of the foundation [MASK] the managing board , the supervisory board and the association .",include,include,17,4,1,0,5,1,1,,
artists,include,includes,"other notable artists working in the idiom of rubens include gaspar de crayer , who was active in brussels , artus wolffort , cornelis de vos , jan cossiers , theodoor van thulden , abraham van diepenbeeck , and jan boeckhorst .","other notable artists working in the idiom of rubens [MASK] gaspar de crayer , who was active in brussels , artus wolffort , cornelis de vos , jan cossiers , theodoor van thulden , abraham van diepenbeeck , and jan boeckhorst .",includes,includes,42,7,1,1,9,1,3,,
figures,seem,seems,"the figures shown in wales and northern ireland , on the other hand , seem improbably low , in the same range as the baltic states or even poland .","the figures shown in wales and northern ireland , on the other hand , [MASK] improbably low , in the same range as the baltic states or even poland .",seem,seem,30,13,1,1,14,1,2,,
guidelines,find,finds,"wp guidelines without torturing the interpretation of a guideline that is already inherently subjective to the point of absurdity , i find it very difficult to see your argument as substantive .","wp guidelines without torturing the interpretation of a guideline that is already inherently subjective to the point of absurdity , i [MASK] it very difficult to see your argument as substantive .",find,finds,32,20,4,1,21,4,3,,
lakes,produce,produces,"most of these lakes are also converted into fish farms , duck farms or other horticulture produce farms .","most of these lakes are also converted into fish farms , duck farms or other horticulture [MASK] farms .",produce,produce,19,13,5,1,16,3,1,,
lyrics,continue,continues,other lyrics in the song continue this idea .,other lyrics in the song [MASK] this idea .,continue,continue,9,4,1,0,5,1,1,,
